text,label
"[THY] haftaya 350 üstü kapatır rez alın buralar bedava",Piyasa Trend/Tahmin
"[BIST100] ralli falan bitti arkadaşlar ayı piyasası hayırlı olsun",Piyasa Trend/Tahmin
"[ALTIN] ons tarafı kopacak yakında gram 3200 hayırlı olsun",Piyasa Trend/Tahmin
"[USDTRY] doların ateşi çıkacak gibi duruyor yukari yönlü kırılım var",Piyasa Trend/Tahmin
"[GARAN] bankalarla beraber uçuşa geçer bu hafta demedi demeyin",Piyasa Trend/Tahmin
"[EREGL] temettü haberi gelirse roket olur buralar",Piyasa Trend/Tahmin
"[KCHOL] formasyon tamamlandı artık yukarı yönlü ivme bekliyorum",Piyasa Trend/Tahmin
"[GUMUS] gümüşte boğa sezonu başlıyor hazırlanın",Piyasa Trend/Tahmin
"[AKBNK] endeks düşerken bu ayakta kalırsa büyük ralli yapar",Piyasa Trend/Tahmin
"[BIST100] seçim sonrası yeşil bi tablo bekliyorum şahsen",Piyasa Trend/Tahmin
"[THY] hacim çok arttı yakında büyük bir patlama yapcak",Piyasa Trend/Tahmin
"[USDTRY] 40 lira olması an meselesi buralar son fırsatlar",Piyasa Trend/Tahmin
"[ALTIN] fed faiz indirse de altınımız uçsa artık",Piyasa Trend/Tahmin
"[EREGL] buralar dip mi acaba daha iner mi yarın yeşil yakar mıyız?",Piyasa Trend/Tahmin
"[GARAN] bankacılık endeksi coştu ralli geliyor",Piyasa Trend/Tahmin
"[BIST100] testere piyasasına hoşgeldiniz beyler dikkatli olun",Piyasa Trend/Tahmin
"[THY] havacılık sektörü bu yaz rekor kıracak ytd",Piyasa Trend/Tahmin
"[KCHOL] devlerin savaşı başlıyor ralli yakındır",Piyasa Trend/Tahmin
"[AKBNK] yabancı girişi var hissediyorum uçuşa az kaldı",Piyasa Trend/Tahmin
"[GUMUS] altın gidemezse gümüş hiç gidemez bu iş bitti",Piyasa Trend/Tahmin
"[USDTRY] seçimden sonra 45 hayal değil",Piyasa Trend/Tahmin
"[ALTIN] ons 2500 dolara merdiven dayadı geliyo gelmekte olan",Piyasa Trend/Tahmin
"[BIST100] düşüş trendi bitti dönüş sinyali geldi",Piyasa Trend/Tahmin
"[EREGL] bu baskılama elbet bitecek o gün tavan tavan gitcek",Piyasa Trend/Tahmin
"[GARAN] endeksin lokomotifi yine bankalar olcak",Piyasa Trend/Tahmin
"[THY] bedelsiz beklentisi piyasayı uçurur",Piyasa Trend/Tahmin
"[AKBNK] haftalık grafikte boğa flaması var",Piyasa Trend/Tahmin
"[KCHOL] bu kağıt bu fiyata kalmaz yakında şov başlar",Piyasa Trend/Tahmin
"[USDTRY] devalüasyon beklentisi piyasayı geriyor",Piyasa Trend/Tahmin
"[ALTIN] savaş çıkmazsa altın düşer diyenler yanılacak",Piyasa Trend/Tahmin
"[BIST100] hacimsiz yükselişten korkun fena çakarlar",Piyasa Trend/Tahmin
"[THY] geri çekilmeler alım fırsatıdır ralli yolda",Piyasa Trend/Tahmin
"[EREGL] çelik fiyatları artıyor ralliye hazırlanın",Piyasa Trend/Tahmin
"[GARAN] yarın açılışta tavan bekliyorum",Piyasa Trend/Tahmin
"[AKBNK] takaslarda ciddi toplama var patlıcak",Piyasa Trend/Tahmin
"[BIST100] 10 bin puan altı artık hayal",Piyasa Trend/Tahmin
"[KCHOL] holdingler bu sene çok konuşulacak",Piyasa Trend/Tahmin
"[GUMUS] rasyo düzeliyor gümüşün zamanı geldi",Piyasa Trend/Tahmin
"[USDTRY] yıl sonu beklentim 42 üstü",Piyasa Trend/Tahmin
"[ALTIN] bu hafta içi gramda rekor bekliyorum",Piyasa Trend/Tahmin
"[THY] kışın alınan kağıt yazın güldürür",Piyasa Trend/Tahmin
"[EREGL] demir çelik sektörü yeniden şahlanıyor",Piyasa Trend/Tahmin
"[GARAN] yabancı fonlar girmeye başladı ralli yakın",Piyasa Trend/Tahmin
"[AKBNK] bu bilanço ile 3 haneli rakamlar yakındır",Piyasa Trend/Tahmin
"[BIST100] küçük düzeltme bitti yolumuz yukarı",Piyasa Trend/Tahmin
"[KCHOL] istikrarın adresi koç grubu uçuşa geçecek",Piyasa Trend/Tahmin
"[USDTRY] dolar kurunda yukarı yönlü baskı artıyor",Piyasa Trend/Tahmin
"[ALTIN] güvenli liman her zaman kazandırır",Piyasa Trend/Tahmin
"[THY] global uçuş trafiği arttı tahminler çok iyi",Piyasa Trend/Tahmin
"[EREGL] bu hantallığı atacak üzerinden az kaldı",Piyasa Trend/Tahmin
"[GARAN] endeks düşerken bankalar ayakta kalırsa ralli gelir",Piyasa Trend/Tahmin
"[AKBNK] teknik göstergeler al veriyor",Piyasa Trend/Tahmin
