text,label
[GARAN] Bunlar kafaya koymuş 2028 de 1000 lira olur bu kağıt.,Piyasa Trend/Tahmin
[GARAN] 12 Mart 200 lira sonrasına Allah kerim. 2028 diye bir hedef şuan yok... Bankalarin kredi genişlemesi de artar. Asil parayi o zaman kazanirlar.,Piyasa Trend/Tahmin
"[GARAN] sırada Colombia'da var..Maduro çatışmayı başlatıyoruz açıklaması yaptı..jeopolitik riskler arttıkça,malesef bizim borsanın oynaklığıda artıyor..",Risk ve Haber Analizi
[GARAN] Lion King haklısın ama bizim borsa zaten ip üstünde,Piyasa Trend/Tahmin
"[GARAN] Size iyi kazançlar 144 ü görünce sattım,yine her zamanki gibi bir ileri iki geri yapar asağıdan alırım dedim.Ama yine her zaman ki gibi ters düştüm",Alım-Satım Niyeti
"[GARAN] kademeli alış, kademeli satış olmalı",Genel Bilgi/Durum
[GARAN] Ptesi düşeceğini tahmin ediyorum Hep aynı hareketler,Piyasa Trend/Tahmin
"[GARAN] İstanbul enflasyonu, bankacilik bugün ki hareket, tahvil fiyatlamasi ve Bofanin viopta short kapatmasi.. Bunlarin hepsini alt alta koyunca 0.70 civari bir enflasyon gelebilir.",Risk ve Haber Analizi
[GARAN] Sizin demenize pazartesi yükseliş devam eder,Piyasa Trend/Tahmin
[GARAN] Viopta şuan 0.26 daha yukari aldilar. Özellikle bankalar canli devam ediyor. Bizim Pazartesi 153 işi olacak galiba..,Piyasa Trend/Tahmin
[GARAN] Sayın lion king rica etsem bugünü ve pazartesi gününü yorumlarmısınız nasıl durum?,Genel Bilgi/Durum
[GARAN] Enflasyon bizi terste bırakmazsa Pazartesi 153 lira gelir. Pazartesi viop açilişi belli eder diye düşünüyorum.,Piyasa Trend/Tahmin
[GARAN] Gündemde bir sıkıntı olmazsa eğer sizin grafikte kısa vade tepe rakami kaç acaba?160-162 bulur muyuz?,Hedef Fiyat Sorgulama
[GARAN] 149.70 kapanış,Genel Bilgi/Durum
[GARAN] 149.10,Genel Bilgi/Durum
[GARAN] 16.000.000 alış....12.000.000 satıcı,Genel Bilgi/Durum
[GARAN] GARA GÖZLÜM GİDİYOR,Piyasa Trend/Tahmin
[GARAN] 148 üstü kalırsa 160 a kadar 1-2 haftaya ordan döner muhtemelen bu seviyelere,Hedef Fiyat Sorgulama
[GARAN] burdan saki dalmayun,Alım-Satım Niyeti
[GARAN] 15.407.000 alış....11.600.000 satış,Genel Bilgi/Durum
[GARAN] 148 nazar değmesin,Genel Bilgi/Durum
[GARAN] 12.880.000 alış.....10.350.000 satış,Genel Bilgi/Durum
[GARAN] Halil Halid bey nasıl alımlar öndemi hala,Genel Bilgi/Durum
[GARAN] 148 civari kapat Pazartesi 153 gelsin.,Piyasa Trend/Tahmin
[GARAN] Lion king olurmu sizce,Genel Bilgi/Durum
[GARAN] Pazartesi olmazsa 12 Mart civari ancak olur.,Piyasa Trend/Tahmin
"[GARAN] ortalama bankalar fiyatlamada yüzde 3 ü geçti,en nazlı bu gidiyor..inşallah yüzde 4 lere gelir bugün",Genel Bilgi/Durum
[GARAN] Onlardan az düştü onlar kadar yükselmez.,Genel Bilgi/Durum
"[GARAN] 147,60 maşallah diyelim",Genel Bilgi/Durum
"[GARAN] aynen,147 direncinde bugün tutunamaz ise,145 e geriliyebilir",Hedef Fiyat Sorgulama
[GARAN] veririse 145 e kadar oldurur durmaz,Piyasa Trend/Tahmin
"[GARAN] anlık. 147.20...direnci geçti,inşallah kalıcı olur",Genel Bilgi/Durum
"[GARAN] 1,5 sene olmuş anamızın kolundaki bilezik %100 gitmiş bu ancak 1,5 sene önceki fiyatından %10 kar yaptırabildi",Genel Bilgi/Durum
[GARAN] geçemiyor 160 düşecek sakın kanmayıb sahte yükseliş,Piyasa Trend/Tahmin
[GARAN] bugün 160 olamaz ise düşecek demektir,Hedef Fiyat Sorgulama
[GARAN] 200 olur 5 6 seneye ölmesseniz bekleyin,Piyasa Trend/Tahmin
[GARAN] 7.775.000 alıcı...6.236.000 satıcı,Genel Bilgi/Durum
[GARAN] alici satici goren,Genel Bilgi/Durum
"[GARAN] Bofa 800k, A1 300k aldi, Yatirim finansman 550k satti. Toplamda 570k para girişi var.",Genel Bilgi/Durum
"[GARAN] Şuan 146,30 inşallah 147 yi kırar yürür",Hedef Fiyat Sorgulama
[GARAN] Pazartesi 150 görürüz inşallah ytd. Bugün olursa daha güzel olur tabi,Hedef Fiyat Sorgulama
[GARAN] 147 de bir direnc daha var 145 deki gibi degil ama piyasaya bagli,Hedef Fiyat Sorgulama
[GARAN] İnsanlar artık yılmış kimse yok.,Genel Bilgi/Durum
[GARAN] direnci kirdi,Genel Bilgi/Durum
[GARAN] artık kimsede güven bırakmadılar hep zarar hep zarar bıktırdı... moral hergün bozuk baktık ve yorulduk üzüldük,Genel Bilgi/Durum
[GARAN] Hafta sonu Suriye de birseyler olmazsa Pazartesi gününe kadar yükseliş olmasi lazim. Pazartesi sabah 0.70 civari bir enflasyon ile yükselis ivme kazanir.,Risk ve Haber Analizi
"[GARAN] Pazartesi 0.70 civari bir enflasyon açiklanirsa şaşırtıcı olmaz... Abd, Suriye de kapsamli bir operasyona izin vermez ama s d g denen yapiyi anlaşmaya zorlamak için sinirli operasyona izin verebilir.",Risk ve Haber Analizi
[GARAN] ayı sezonu başladı 90 a kadar düşer bu,Piyasa Trend/Tahmin
[GARAN] 2024 Aralık İstanbul enflasyonu 1.74 gelmişti. 2025 Aralık 1.23 geldi.,Risk ve Haber Analizi
[GARAN] Koskoca Türk borsasının tek hikayesi faiz indirimi :)) İçinde bulunduğun ay benzine 2 lira zam gelse enflasyon yüksek çıkacak ve faiz indirimi olmayacak.,Risk ve Haber Analizi
[GARAN] bunlar gitmeden hic bir cacik olmaz borsanin getirisi ppf fonlarini bile gecemiyor artik fon alsak bundan iyidi,Genel Bilgi/Durum
[GARAN] Borsanin getirisi zaten yok hatta şirketlerin çoğunun götürüsü var.,Genel Bilgi/Durum
[GARAN] ne al sat kağıdı ne uzun vade. saçma sapan bir kağıt oldu bu garan.,Genel Bilgi/Durum
[GARAN] garanin ipini cektiler iflah olmaz bu,Genel Bilgi/Durum
