text,label
Pazartesi birçok hisse kırmızı yakar altın uçar,Piyasa Trend/Tahmin
"Türk hava yolları, 100 milyar TL lik yeni yatırım planını açıkladı. İçerikleri şunlar; - Dünyanın en büyük hava kargo terminali - Günlük 500 bin kapasiteli ikram tesisi - Avrupa’nın en büyük geniş gövde motor bakım merkezi -İki yeni veri merkezi THY bu dev yatırımla 26 bin kişiye istihdam sağlaması yaratıcak. Sizce defter değerinin sadece 3/1 ine yakın iskontolu şekilde fiyatlayan piyasa bu yatırımlara nasıl bi tepki vericek ?",Risk ve Haber Analizi
Bu güne kadar endeksi aselsanla tuttular bundan sonrada thy ile ayakta kalacak endeks diye düşünüyorum kısa zamanda layık olduğu yere gelecektir yatırım tavsiyesi değildir,Genel Bilgi/Durum
borsanın bu haftaki hareketi çok saçma 11 bine çekmeden yukarı gitmesi hiç sağlıklı olmayacak,Genel Bilgi/Durum
Bende olsan önce 11.7k yapar ordan 11bine basar yeni mal almış adamı patlatırdım oyunvu olan uzun vadeci kardeşler için sıkıntı yok 2028 den evvel satmamak üzere.bize mal kitletecek sonra arada endeksi 11k ya çekecekler mal kitleme olmazsa 12k bile olur sonuçta ptesi güzel mal kitlerler ho ho Ho noel baba tr ye yeni geldi al bu kirazdan yaptıkları anda ver aşağı ver Allah ver. Düşme sülüman düşme git sasa al orda belki 5e sürme tezgahı yine yapar yılanoğlu erdemoğlu,Genel Bilgi/Durum
valla bilemiyorum yükselmesine yükselecek borsa ama bi geri çekilme olmadan gitmesi beni işkilllendirdi bu bofanın alımı hiç hoşuma gitmedi cıtı takaslarını takip etmek lazım,Alım-Satım Niyeti
Madem öyle ŞİRKET doğruysa hissenin fiyatı 272 de 1 Ay bekledi Şirket neden devreye girmedi Artık Kimseyi Kandıramayacak Bu BORSA Siz Merak etmeyin,Risk ve Haber Analizi
6 doların üstünde alım yapan sene sonu buraya gelip ağlamasın,Alım-Satım Niyeti
"bofa bist30da bazı hisseleri topladı . Nette yaklaşık 3,4 milyon lot satıldı Bofa 2,1 milyon lotunu aldı. P. tesi aldıklarını boşaltır.bofa hisseyide piyasayıd aşağı çeker. Kurumsal yok yabancı yok 1 ileri İKİ geri sürünmeye devam",Alım-Satım Niyeti
Hisse 3 yıldır yükselmeyecek ve 4 AYDIR da Sadece düşecek 10 gün içinde DİP yapmış fiyatı olacak ve Yılın son 3 iş günü Şirket dipten biraz alım yapacak ve OCAK Ayının ilk günü prim yapacak ve burdan Alanda kazanacak daha sonra Senin grafik doğru diye Şak şak yapacak Ulan bırakta burdan alanda kazansın Artık RUH Hastaları ENDEKS 11.500 Oldu ve hisse dipten sadece yüzde 4 çıkmış yani 11 Tl ALLAH AKIL FİKİR VERSİN Size Ocakta yeni yılda yükselmeyip Napcak,Risk ve Haber Analizi
Begenmedikleri Pegasus 1000 Tl yi gördü bölündü 206 dan 287 yi gördü hesap Et THY nin fiyat olarak 4 katına çıktı DOĞRU Ol yeter,Genel Bilgi/Durum
