text,label
[THY] Borsada 3 Yıldır Doğru hareket yok doğru olan ve doğru bilinen Herşeyi Tersine çevirdiler aldatmaca yani O yüzden bana desteği direnci kademeyi boşa anlatma Evet Faydan Var bir çok Kişiye ama dediğim gibi Sebepsiz yere hiçbir Negatif olumsuz haber yokken hiçbir sıkıntı yokken Sadece düşürdüler yani Yine ben Genel değerlendirme yaparım yani Sonuca bakarım,Risk ve Haber Analizi
"[EREGL] Vay arkadaş 24,22 e sevinir hale geldik hissede.",Hedef Fiyat Sorgulama
[ALTIN] Faiz kararı çok etkilemez dünya ons alıyor ytd.,Risk ve Haber Analizi
[THY] Tc Mehmet şimşek e göre uçuyor thyao zaz a göre uçuyor bence ikisi de aynı 3 yıldır arpa boyu gitmeyen hisseye daha ne hakla uctu kacti çıktı düştü yaa hersey ortada arkadas sen akşamdan kalma misin yaa bu hisse şu an 350 tl olsa insan thyao iyi yerde demeye vallahi gene utanır yaa,Genel Bilgi/Durum
[ALTIN] Altın boğa piyasasına hazırlanıyor ! Bloomberg Intelligence Analisti Mike McGlone ise hisse piyasalarının sendelemeye başlamasından sonra altın fiyatlarının yükselişe geçeceğini belirterek “Altın konsolide olarak boğa piyasasına hazırlanıyor” dedi... borsagündem,Piyasa Trend/Tahmin
[THY] O güvenmez dediğin yatırımcılar güvenip paralarını TL’ye çevirip yüksek faizli Türk tahvillerini alıyorlar ama. Yatırımcı kazanacağı paraya bakar.,Risk ve Haber Analizi
[KCHOL] Sermaye artırımı için Koç holding hissesi olanlar herhangi bir şey yapması gerekiyormu.yoksa Koç u ilgilendiren bir konu yokmu.,Risk ve Haber Analizi
"[THY] çine vize kalksa ne olur. zaten e-vize üstünden kafadan 30 gün veriyor her gelene. ama biz çine gidemiyoruz vizesiz. ocakta gidecegim tekrar, özel resmi davet mektubuyla anca vize alabiliyoruz,",Risk ve Haber Analizi
[KCHOL] Altın uçuyor yine savaşlar yine başladı faizler artacak yine mejbur,Genel Bilgi/Durum
[THY] Viop30 zaten Rallide peki bu HIRSIZ hisse Nerde,Piyasa Trend/Tahmin
"[GUMUS] Bakan Nebati'nin hayallerini yıkacak açıklama !! Bakan Nebati'nin Londra'da katıldığı toplantı için Gri Liste'de yer alan bir ülke neden yabancı yatırımcıları davet için toplantı yapar? diye sordu.Hazine ve Maliye Bakanı Nebati, Londra toplantısında yabancı yatırımcılara;1.Döviz kurunun sabit kalacağı taahhüdünü vermiş (Aklım almıyor) 2. Sermaye kontrolü olmayacağı konusunda taahhüt vermiş.Enflasyon % 50, mevduat faizi % 20...Liralaşmadan bahsediliyor...Vatandaştan TL'yi tercih etmesi bekleniyor...",Risk ve Haber Analizi
"[ALTIN] burası neyin nesi , gram altının ons karşılığı değil mi, gram artarken burası nasıl -%1 olabiliyor,lütfen bir arkadaş açıklayabilir mi",Genel Bilgi/Durum
[AKBNK] Bankalar gidecek dedikçe Bankalara veriyorlar alın diye önerdikleri 3 gün yaşıyor. Noel rallisini geri viteste yapıyor bankalar,Piyasa Trend/Tahmin
[USDTRY] flashhhh haber drumb mundar o nun garıyı daga galdırdı,Genel Bilgi/Durum
[KCHOL] YTD. Dün 172lerden verdiğimi tekrar aldım. Enflasyon muhasebesinin kalkması en çok holdinglere yarayacakken öyle ya da böyle bunu da sürmek zorundalar. Tek korkum bofa yüklü girdi tekrar satmaya kalkarsa gözümüzü yine 168 lerde açarız.. YTD,Risk ve Haber Analizi
"[KCHOL] Borsadan anlıyorum diyen komik adamlar şimdi buna diskike atar, eleştirir, ama bi gerçek var, bakınn bazıları halen kabullenmiş deyil. Bugün, şuan bist30,50,100 endekisi %1'e yakın değer kazandı, bist30 daki 30 en iyi kağıtın 7 ' si kırmızı diğerleri 23 ü yeşil yakıyor. Genel endeks yukarı çıkıyor, bu kağıt yani KCHOL ya paralel yada aşşağı ilerliyor, aracı kurumlar halen 200, 300 tllerde fiyat veriyor, hepsi bir suçlu yanlış yönlendirme yapıp insanları tuzağa çekiyor. Bunda bir ANORMALLİK, HİLE var. Bazıları halen herşeyin normal seyrinde gittiğini düşünüyor. HAKKIMIZI ARAYALIM, YASAL YOLLARI TAKİP EDELİM !!!",Hedef Fiyat Sorgulama
[KCHOL] Maliyetine gelsin satacağım YKB Kredi kartını iptal ettireceğim hesaplarımı kapatacağım o kadarki yaktılar içimi,Alım-Satım Niyeti
[GARAN] Ay sonu kapanış tahminlerini alalım.?,Alım-Satım Niyeti
[AKBNK] Yazdığımda 70.1 di ama kafasına vurdular anlık alım satımı görebilen var mı?,Alım-Satım Niyeti
[KCHOL] Bugün Koç'un 166 ve a167 daha aşağı salması bekleniyor grafiklerde al sata bakilirsa satışlar yine önde,Hedef Fiyat Sorgulama
[KCHOL] akşama büyük satışlar geliyor özellikle endeks kağıtlarında olacak,Genel Bilgi/Durum
[THY] Bugün bankaları yükselte yükselte alıp ptesi sabahı 10.00 da muhtemel 0.7aralık enflasyonu ile yapılacak o çok güzel yelde saplayacakların altyapısı mallaru toplar ptesi akşam az yukardan servis ederler bence. Sonra? Sonrası buranın bokkpartili bokkbademli badem bıyıklı pzzvnglerrinde.burayı birtek onlar bilir birde kadrolu forum yaveri,Risk ve Haber Analizi
[THY] Gaz bulduk battaniye altından çıkayım mı,Genel Bilgi/Durum
[EREGL] seans sonu bist 30 12160 a gidebilir dikkat y.t.d.,Hedef Fiyat Sorgulama
[KCHOL] koçla alaksi yok haberi iyi oku mal ondan sonra yorum yap,Risk ve Haber Analizi
[GUMUS] TÜRKİYE İÇİN KÖTÜ GÜNLER GELİYOR !!Türkiye için artık kötü günler geliyor. ABD'nin yüksek enflasyonu ve bu enflasyona karşı çekilecek faiz Türk lirasını vuracak.ABD enflasyona karşı faiz artırımına gidecek etkisi Türkiye’de çok kötü olacak !!FAİZ SİLAHINI ÇOK SERT VE HIZLI ÇEKECEKABD’nin Merkez Bankası enflasyona karşı faiz silahını çok sert ve hızlı çekecek. Bugüne kadar FED'in 2 ile 4 arasında faiz artışına gitmesi bekleniyordu. Ancak son yüzde 7.5 enflasyon FED’in en az 6 kez ve yüksek oranda faiz artışının zorunlu kılacak.ALMANYA BİLE HAFTAYA FAİZ ARTIRACAKAlmanya gibi dünyanın en güçlü ekonomisine sahip ülke dahi önümüzdeki hafta faiz artıracak. Biz ise kur korumalı hesapla bu fırtınadan kurtulamaya çalışıyoruz.remzi özdemir,Risk ve Haber Analizi
[AKBNK] Yükseliş zamanı çok yakın beyler gücünüz yettiğince alın bu hisseyi,Piyasa Trend/Tahmin
[GUMUS] arkadaşlar bu 1 gr gümüşün tl cinsinden değeri mi,Genel Bilgi/Durum
[AKBNK] Kardeş Allah aşkına az kafanızı kullanın ya bir haber olsa sadece Akbank mı düşer bist gayet iyi,Risk ve Haber Analizi
"[KCHOL] 2 yıldır düşüşte herkesi mahvetti enflasyon filan 2 senedeki kayıp büyük gerçekten yazıklar olsun,aldıkları ahh lar yaklarını bırakmaz.",Piyasa Trend/Tahmin
"[GUMUS] ....PUTİN: HER TÜRLÜ ASKERİ SEÇENEK MASADAPutin'in geçen yıl, Rusya'nın güvenlik taleplerinin karşılanmaması durumunda Ukrayna'ya karşı kullanabileceği &quot;her türlü&quot; askeri seçeneğe sahip olduğunu söylediğine dikkat çekildi.SAVAŞIN GİDİŞATINI BELİRLEYECEK İKİ FAKTÖRHaberde ayrıca, Rusya ve Ukrayna'nın askeri güçleri karşılaştırıldı. &quot;Ukrayna vazgeçmezse, Rusya gerekli olduğu sürece kara operasyonları başlatabilir. &quot; denildi. Ukrayna'ya olası saldırının gidişatını &quot;Ukraynalıların savaşmaya ve Batı'nın Kiev'i desteklemeye ne kadar hazır olduğunun&quot; belirleyeceği kaydedildi.....",Risk ve Haber Analizi
[USDTRY] 2 sene önce cidde de otel TL ile 1500 liraydı hala aynı fiyat bu enflısyon bizde var arkadaşlar bilginiz olsun sebebi belli kasıtlı olarak halk somuruluyor ortada devlet falan yok durum vahim,Hedef Fiyat Sorgulama
"[AKBNK] 1,5 seneyi geçti aynı yerlerde özel bankalar yeni zirveler yaptı akbnk eski zirvesine bile yaklaşamadı. Bankalar gidecek dedikçe akbnk a verdiler gitmedi. Acaba yerden sonra patlayacakmı?",Piyasa Trend/Tahmin
"[THY] Günlükte 276,75 i fiyatlıyordu bugün:))) 272,75 ve üstü her kapanış bugün çok kıymetli. Ağlayana kadar söylenilenlere kulak vereceltiniz. Olanı anlamaya değil ağlama faaliyetine odaklanın. Sulu olan az daha sulansın.:)))",Piyasa Trend/Tahmin
"[AKBNK] Japonya merkez bankası yarın faiz oranını %0.5 den %0.75 e yükseltmesi bekleniyor.son 30 yılın en yüksek faiz oranıymış bu,merkez bankası aynı zamanda faiz arttırımlarının süreceğini vurgulayacakmış.. BİZİM BORSA ,BU DURUMDAN NASIL ETKİLENİCEK ACABA,MALUM; HERŞEYDEN ETKİLENMEYE MERAKLI BİR BORSAMIZ VAR..",Risk ve Haber Analizi
[THY] Pegasus unda toparlaması gerek yoksa bu tek başına çıkamaz ondan ayrılırsa buradan kara geçmeye başlayan kısa vadelciler pegasusa kaymaya başlar dipten alalım diye grafikler çok ara açmıyor gördüğüm kadar.,Alım-Satım Niyeti
[GUMUS] Xag / usd ya da gümüş spot türk lirası,Genel Bilgi/Durum
