text,label
[KCHOL] Koç u moç u yok borsanın yatırımcıyı yakalayan elşne veriyor bekle şimdi diyorlar,Genel Bilgi/Durum
"[AKBNK] Yürü çaktımadan hissettirmeden, ince ince doğra shortcuları algıcıları Japonları",Alım-Satım Niyeti
[AKBNK] aman aman tamda rayına girecek akbank bahar sonuna kadar yükselecek diye bugünleri bekledik,Genel Bilgi/Durum
[ALTIN] Nebati: Bu sefer düşük faiz politikamızı uygulamakta kararlıyız________________________________________________https://www.dunya.com/finans/haberler/bakan-yardimcisi-nebati-bu-sefer-dusuk-faiz-politikamizi-uygulamakta-kararliyiz-haberi-640968,Risk ve Haber Analizi
"[EREGL] hızlı para mal toplanırken değil toplandıktan sonra yapıılır..ucuza alınan mal bıktırana kadar ucuz kalır..ki daha eregli'de bırakın mal toplamayı satılan mal dahi yerine konmuyor..hele 42 cente ir insin satılan mallar yerine konsun ondan sonra bakılacak duruma..dışarıda çin içeride yüksek faiz varken eregli'yi toplayacak adam yatırım y'sinden anlamıyordur..anlamadığının teyidini de 2,5 yıldır rakamlar söylemektedir..",Hedef Fiyat Sorgulama
"[AKBNK] Ekonomistler;Enflasyon muhasebesinin yapılmasının doğru finansal raporlama sağladığını düşünerek ,yatırımcı üzerindeki güven etkisini arttırdığını söylüyor..dün kaldırıldı zaten,bugün banka hisselerinin durumu ortada..ancak bizim borsamız genelde ,ne hedef fiyatı ne endexi ne grafiği dinler oldu..bofa vb kurum alıyorsa çıkıyor satıyorsa düşüyor..inşallah kazançlı bir yıl olur",Risk ve Haber Analizi
[EREGL] adamlar bugün bist 30 12400 e çekecek belki biz yine kazanmayacaz .adam diyoki bak borsa yükseliyo sende kabiliyet yok imajı vermeye çalışıyor ereglicilere :)ytd,Hedef Fiyat Sorgulama
"[KCHOL] geçen sene 6 lira civarı temettü vermiştin. bu sene de senden kallavi temettü bekliyoruz. bir kez de yatırım yapanı sevindir, satanı değil",Risk ve Haber Analizi
[KCHOL] Bofa derdi ne kopek gibi satıyor,Genel Bilgi/Durum
"[KCHOL] Biraz daha düşerse bu endeksde yancıları başlar bankasını satıyor diye haber çıkarmaya. yükseltip malı milletin eline verirler. 2 kere bunu yaptılar. çok oyalandı bu fiyatlarda, zamanı geldi yakında başlarlar sağda solda balon haberler",Risk ve Haber Analizi
[GUMUS] gümüşün ons fiyatı..Bu değeri 31.10 a bölgeniz gerekiyor sanirim,Genel Bilgi/Durum
[GUMUS] Kuveyt Türk makas aralıkları ne zaman düzelirrr,Genel Bilgi/Durum
[KCHOL] bofa teranın tahtalarında hiç bir halt edemiyor helal sana tera,Genel Bilgi/Durum
[GARAN] Uzayada gitse burdan almam 120 aldım 100 oldu 3 ay çıkmadı bıktırdı daha töbe buluşmam burlar bana çok pahalı sizi bilmem 105 altı para bağlarım yoksa faiz fon parite kazanırım bu çok yukarda,Alım-Satım Niyeti
[EREGL] önemli olan zamanında para kazanmaktı.kazandırtmadı bro.10 sen sonra 50 olsa ne olur.adam hissenin ayarlarıyla oynadı:),Genel Bilgi/Durum
[KCHOL] Koç yarın tavan kokoyinci tutuklanmış,Genel Bilgi/Durum
[ALTIN] ERDOĞAN; FAİZ DÜŞECEK TAVİZ YOK.!!!............................ Erdoğan faiz konusunda net: Asla taviz veremem ve vermeyeceğim. .........................https://www.timeturk.com/ekonomi/erdogan-hicbir-zaman-faizin-yukseltilmesini-savunmadim-asla-bu-konudan-taviz-vermem/haber-1711913,Risk ve Haber Analizi
[GARAN] benimde bütün hisseler sıfır gözüküyor teknik bir sorun mu var acaba,Genel Bilgi/Durum
[USDTRY] Tuzağa düşen fili siyah gömlekli bir gurup gelip bir güzel döver sonra bu grup beyaz gömlek giyerek fili kurtarır. Fil artık siyah gömlekliyi kötü beyaz gömlekliyi iyi bilir. VAY DÜNYANIN HALİNE ABD BU GURUBUN TA KENDİSİ DURMADAN GÖMLEK DEĞİŞTİRİYOR.,Genel Bilgi/Durum
[USDTRY] cuma daha iyi misin duzeldin mi bak her şey olacağına varır bir hafta makarna yersin 5 kuruş çıkmaz dengelersin doparlan,Genel Bilgi/Durum
[THY] Cevap istiyorum. Boş boş şeyler yazıyorsun sorduğuma cevap yerine. İşine gelmedi mi sorulan şey Emre. Bu bile senin ne olduğunu net anlatıyor işte. Aracı kurum elemanı olduğunu yani.,Genel Bilgi/Durum
[THY] ben bofa olsam 11400 üstünde değil thyyi borsayı bile basardım aşağı komple yani şu bankalar çok şımardı onları da basardım,Genel Bilgi/Durum
[EREGL] seans sonu bist 30 12160 a gidebilir dikkat y.t.d.,Hedef Fiyat Sorgulama
[AKBNK] Bu formda hisse varacağı yere varmış hala daha gözü doymayanlar var bir bakmışsın yıl sonuna kadar 60 indirim işler Faiz kararını fiyatlı yor kaç gündür yeşil mum yakmış Beklenti gerçekleşmiş aklımızla oynamayın aklınız gider bu gün kapanis6 68 altı not alın yıl sonuna kadar 60 kadar cekeceler Bofa devreye satış için hızlı girecek bu gün 70.30 alanlara verdiler zaten ky eline,Piyasa Trend/Tahmin
[EREGL] Sıradışı geldiğinde her zaman hisse zirve görür. Hedef 39,Hedef Fiyat Sorgulama
[KCHOL] Ky batmış insanlar bunalıma girmiş aile düzeni bozulmuş bunların umrunda değil gözlerinde bit kadar değerimiz yok,Alım-Satım Niyeti
[THY] Önemli bir direncin çok üstünde kapanış yaptı diye seviniyorum ben. Hem de kısa vadeli ortalamaları birbirine yaklaştırıyor bu hareketiyle. Sabah da yazdım bunu. Anlamayanlar anlamasın. Üzülmeye ağlamaya devam etsinler. Çok da umrumda:)))),Piyasa Trend/Tahmin
[GUMUS] La olum herkes altıncı mı gümüş daha çok kazandırıyor ya.,Genel Bilgi/Durum
"[KCHOL] Dedimki boffa elinde hisse yokken 1,5mio lotda cuma açığa satması yetmezmiş gibi bu günde daha fazlasını satması. hisseyi çökertti. Muhtemelen citinin malını satıyorlar . Devam açığa satışa s p k borsa çökene kadar satsınlar. Bu trade piyasasında sadece açığa satışla 3-5 büyük para kazanıp nemalanır.",Genel Bilgi/Durum
[BIST100] yarın bist show yapar. +++++++. ytd,Genel Bilgi/Durum
"[GUMUS] :) epeyce yeni arkadaş gelmiş. Gram gümüş var , hoşgeldiniz bol kazançlar",Genel Bilgi/Durum
[BIST100] yok muhalefeti destekleyelim yok halk gösterisi yapslim yok.ben yaptım oldu işte.gordunuz mu la dünya lideri nasil olunuyor.macasi yiyen var mı elestirsin,Hedef Fiyat Sorgulama
