text,label
[THY] Pazartesi birçok hisse kırmızı yakar altın uçar,Piyasa Trend/Tahmin
[THY] Abd vurdu venezuellayı hadi buyur burdan yak,Risk ve Haber Analizi
[THY] 268 kapanış,Piyasa Trend/Tahmin
"[THY] Türk hava yolları, 100 milyar TL lik yeni yatırım planını açıkladı... piyasa bu yatırımlara nasıl bi tepki vericek ?",Risk ve Haber Analizi
[THY] Bofa 580 milyonluk alış yapmış önümzüdeki hafta çıkartırlar gibi yukarı,Risk ve Haber Analizi
[THY] Bu güne kadar endeksi aselsanla tuttular bundan sonrada thy ile ayakta kalacak endeks diye düşünüyorum,Piyasa Trend/Tahmin
[THY] borsanın bu haftaki hareketi çok saçma 11 bine çekmeden yukarı gitmesi hiç sağlıklı olmayacak,Genel Bilgi/Durum
[THY] Bende olsan önce 11.7k yapar ordan 11bine basar yeni mal almış adamı patlatırdım,Piyasa Trend/Tahmin
[THY] valla bilemiyorum yükselmesine yükselecek borsa ama bi geri çekilme olmadan gitmesi beni işkilllendirdi,Piyasa Trend/Tahmin
[THY] Şu an hakkı en az 600 dü en azz diyorum,Genel Bilgi/Durum
"[THY] 3 yıldır alan için kendim için söylüyorum. 1500 TL olursa, kazandım diyeceğim gerisi boş fasa fiso...",Genel Bilgi/Durum
[THY] Ben kapanışlara göre izlediğim tablomda görüyorum. Geri dönüş sebebi de bunlar.,Genel Bilgi/Durum
"[THY] 264,76 342 düşüşünden beri ortaya çıkan durumdan türetildi... Sizler 250 beklerken ben 267,76 dikkat çektim.",Genel Bilgi/Durum
[THY] Madem öyle ŞİRKET doğruysa hissenin fiyatı 272 de 1 Ay bekledi Şirket neden devreye girmedi,Genel Bilgi/Durum
[THY] ROBOT herşey planlı yapıldı artık kimseyi Kandıramaz ŞİRKET ve Sen Tahtacı,Genel Bilgi/Durum
[THY] Buarada neden endekse ancak karanlıkta yakalamasının tek sebebi varantlar... karanlıkta borsa sadece borsa değildir,Risk ve Haber Analizi
[THY] Önümüzdeki hafta larda tekrar 300 üzeri denenecek ZAMANI GELDİ,Piyasa Trend/Tahmin
"[THY] O kadar değil. 280,50 var arada.291,75 var. var bir şeyler. Öyle 1 haftada olmaz bence. YTD.",Piyasa Trend/Tahmin
"[THY] dönüş yeri bence diye geçen hafta yazdım... 264,75 üstünde kalışlarda bile alınmış olsa??",Genel Bilgi/Durum
[THY] 6 doların üstünde alım yapan sene sonu buraya gelip ağlamasın,Piyasa Trend/Tahmin
"[THY] bofa bist30da bazı hisseleri topladı . Nette yaklaşık 3,4 milyon lot satıldı Bofa 2,1 milyon lotunu aldı.",Risk ve Haber Analizi
"[THY] Tamam. Geçmişten gelen önemli bir direncin çok üstünde (272,545) çok üstünde kapattı",Genel Bilgi/Durum
[THY] 2023.hedef.345. 2026.hedef.280 Ben.sızın.paranız.yimesı.bılerım.,Genel Bilgi/Durum
