text,label
[KCHOL] 2026 yılı yine altın faiz kazandıracak net,Piyasa Trend/Tahmin
[KCHOL] Altın uçuyor yine savaşlar yine başladı faizler artacak yine mejbur,Risk ve Haber Analizi
[KCHOL] Pazertesi günü -9 herkes hazır olsun,Piyasa Trend/Tahmin
[BIST100] Venezuela durumu borsaya nasıl etki eder hocalar,Risk ve Haber Analizi
[BIST100] İran İsrail savaşı etki etmedi. Bu neden etsin ki?,Risk ve Haber Analizi
"[KCHOL] Nette 6,8 milyon lot satıldı 5,2 milyon lotu bofa aldı. Pazartesi aldıklarını kusar bofa hem hisseyi hem piyasayı aşağı çeker.",Risk ve Haber Analizi
[KCHOL] Maşallah maşallah uçmuş seni beğenmeyen utansın,Genel Bilgi/Durum
"[KCHOL] yatırımcı o hale geldiki biraz yükseliş gördüğü zaman sevinir oldu. Kchol son 1 senedir (-%5,46) kaybetirdi",Genel Bilgi/Durum
[KCHOL] 2026 uğurlu gelsin hep yükselişler olsun hedef 500,Hedef Fiyat Sorgulama
"[KCHOL] her tarafın yeşil yaksa ne olur, pazartesi 170 e yolculuk edersin gene",Piyasa Trend/Tahmin
[KCHOL] Turkiyenin en büyük holdingi Koç mezara mı götüreceksiniz vebal almayın hissenize sahip çıkın,Genel Bilgi/Durum
[KCHOL] Kchol almayın aldırmayın rezil bi hisse 1 sene çıkmaz,Piyasa Trend/Tahmin
[KCHOL] Hocam varantını aldırdılar bana 80 kuruştan şuan 20 kuruş önerinz var mı,Genel Bilgi/Durum
"[KCHOL] Şuan artış %2 yarın ne olacağı belli, bu kağıdın karakteri bu. inşallah yanılırım.",Piyasa Trend/Tahmin
[KCHOL] Yarı 169,Piyasa Trend/Tahmin
[KCHOL] Artık geri gelmden yürü bee olum,Piyasa Trend/Tahmin
[BIST100] 2026 borsa ucmuyacak acele etmeyin ilk altı ay yan kagıtlar gider,Piyasa Trend/Tahmin
[BIST100] iyi o zaman bu bist 30 hissesi sat git zarar etme okurmu,Alım-Satım Niyeti
[KCHOL] Biraz daha düşerse bu endeksde yancıları başlar bankasını satıyor diye haber çıkarmaya. yükseltip malı milletin eline verirler.,Risk ve Haber Analizi
[KCHOL] kısa zamanda 174 gorur ama onemlı olan 178 gecmesi,Hedef Fiyat Sorgulama
[KCHOL] yazıklar olsun enflasyon yüzde 50 bir yıllık getirisi -8 oldu,Genel Bilgi/Durum
[KCHOL] Gitmez arkadaşlar bu kağıt gitmez tek giden şey ömrünüz olur,Piyasa Trend/Tahmin
"[KCHOL] Aracı kurumlar arttırıyorda arttırıyor hedefi, var mı arttıran !!! SPK sende bigün hesap verir misin",Risk ve Haber Analizi
"[KCHOL] Endeks çıkarken kıpırdamıyor, inerken ilk önce bu iniyor",Genel Bilgi/Durum
"[KCHOL] Şu hayatta çok az hata yapmışımdır, o hatalardan biride bu hisseyi almaktı.",Genel Bilgi/Durum
[KCHOL] ben satmışdım böyle izlemek daha iyi,Alım-Satım Niyeti
[KCHOL] Yılı eksi kapatıp final yap utanmazsan. Koç FB ye bulaştığından beri ne hisse nede FB nin yüzü gülmedi.,Genel Bilgi/Durum
[KCHOL] Temettüye kadar beklicem sonrası Allah kerim,Alım-Satım Niyeti
[KCHOL] temettüye kadar ne düşeceği ne olacağı belli deyil. Böyle bir KUMAR,Genel Bilgi/Durum
[KCHOL] Tahtacı degil suntacı,Genel Bilgi/Durum
[KCHOL] Gitmiyor yine,Genel Bilgi/Durum
"[KCHOL] sene başından beri getirisi %(-%8,11). Getiri yok götürüsü var.",Genel Bilgi/Durum
"[KCHOL] YİNE KOÇ, YİNE HAYEL KIRIKLIĞI, YİNE BOŞA GEÇEN BİR GÜN DAHA...",Genel Bilgi/Durum
"[KCHOL] Yıl boşa geçti, hatta yıllar",Genel Bilgi/Durum
